S.No.,Subject,Topic,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Description
5137,Pathology,Inflammation,Which one of following is functions of PGI2?,Â Inhibits platelet aggregation,Â Vasodilator,Â Pyrogenic like PGE2,Â All of the above,,4,
5138,Pathology,Gen path,Which amino acid is used to synthesise Nitric oxide ?,Â Glycine,Â Arginine,Â Tyrosine,Â Threonine,,2,
5139,Pathology,Gen path,"Match the FollowingType Match the Following TypeColumn A	l)Type 1 collagen	 2)Type II collagen	3)Type III collagen	4)Type IV collagen",Basement membrane,Skin,cartilage,Descemet membrane of cornea,Granulation tissue,1,
5140,Pathology,Inflammation,"SequentialArranqementType QuestionWhich of the following is the correct sequence of cellular events of acute inflammation?1)	Rolling2)	Stable adhesion3)	Activation of integrins4)	Migration via endotheliumOptions are:","Â 1,2,3,4","Â 1,3,2,4","Â 1,2,4,3","Â 2,3,4,1",,2,Correct sequence is : Rollingâ€”Activation of Integrinsâ€”Stable Adhesionâ€” migration via endothelium.
5141,Pathology,Inflammation,"Multiple Completion TypeRegarding inflammation which of the following is correct:a)	Classically activated macrophage is activated by Interferon-gamma.b)	Albumin is negative acute phase response protein.c)	Durcks granuloma is seen in Cerebral Malaria.d)	Stellate granuloma is seen in Hecht's Pneumonia.","a,b,care correct",a and care correct,band dare correct,"Allfoura,b,c,&arecorrect",,1,Stellate granuloma is seen in cat scratch disease. Warthin finkeldey giant cells are seen in Hecht's Pneumonia caused by Measles
5142,Pathology,Inflammation,"Reason Assertion Type Question:1)	Assertion: Fetal cutaneous wounds healing occurs without scarring2)	Reason : Absence of CD4Th2 cytokine response which activate macrophage for production of fibrogenic cytokines.Options are:",Both Assertion and Reasons are independently true / correct statements and the Reason is the correct explanation for the Assertion.,"Both Assertion and Reasons are independently true / correct statements, but the Reason is not the correct explanation for the Assertion.","Assertion is independently a true / correct statement, but the 'Reasons is independently a fa Ise/incorrect statement.",Assertion is independentlyafalse/incorrectstatement.butthe Reasons is independently a true/correct statement.,Both Assertion and Reasons are independently false/incorrect statements.,1,"Fetal cutaneous wounds healing occurs without scarring due to:1)	Presence of non-fibrogenicforms of TGF-|3 cytokine.2)	Lackofosteopontin production.3)	Absence of a CD4Th2 cytokine response which activate macrophage for production of fibrogenic cytokines."
5143,Pathology,Genetic disorder,Jumping genes take part in: (Recent Question 2017),gene regulation and chromatin organisation,Chromosomal aberrations,Carry out gene amplification,,,4,"Jumping genes transposons'are Mobile genetic elements that movewithin the genome, and showing wide variation in number andpositioning. Their main role is in gene regulation and chromatinorganization"
5144,Pathology,Genetic disorder,Human genome contains (Recent exam 2017),3.2 billion DNA base pairs,2.3 billion DNA base pairs,3.2 million DNA base pairs,2.3 million DNA base pairs,,1,
5145,Pathology,Genetic disorder,Gene editing is done by: (AllMS may 2017),CRISPR-CAS system.,Gene expert,Health care apps.,,,4,
5146,Pathology,Genetic disorder,Change in gene expression by methylation or deacetylation withoutchanging the gene content is known as: (Al I MS may 2017),Epigenetics,Inversion,Translocation,Mutation,,1,
5147,Pathology,Genetic disorder,The most-common form of DNA variation in human being is: (Recent Question 2017),Copy Number Variations CNVs,Single nucleotide polymorphism,Transposons,Mutations,,2,
5148,Pathology,Genetic disorder,Protein-encoding genes are: genome (Recent exam 2017),0.985,0.015,0.05,0.95,,3,"In humans, there are 20,000 protein-encoding genes (= 1.5% of thegenome)."
5149,Pathology,Genetic disorder,Linkage disequilibrium is : (Recent Question 2017),Never co-inherited with disease causing gene,Inherited but not with disease causing gene,Non sense Genetic mutations,Co-inherited with the disease-causing gene,,4,
5150,Pathology,Genetic disorder,Gene silencing RNA- (Recent Exam 2016),rRNA,tRNA,miRNA,None,,3,
5151,Pathology,Genetic disorder,Anticipation refers to (Recent Exam 2016),Waiting for a disease to manifest itself in an individual such as in Huntington's chorea,Worsening of a disease phenotype over generations within afamily,Birth of a fetus with positive prenatal tests for geneticabnormalities,Expression of a premutation.,,5,"Worsening of a disease phenotype over generations within afamily.In genetics, anticipation refers to the worsening of a diseasephenotype over generations within a family.The phenomenonof anticipation is due to increasing size of repeats inpremutations that cause earlier onset of disease or a moresevere phenotype.The mere presence of premutations does notcause changes in phenotype."
5152,Pathology,Genetic disorder,"A child with a small head, minor anomalies of face including a thinupper lip, growth delay and developmental disability can have all ofthe following except- (Recent Exam 2016)",A chromosomal syndrome,A teratogenic syndrome,A mendelian syndrome,A polygenic syndrome,,5,ln this given case it is having association with multifacorialinheritance (multiple genes {means POLYG ENIC INHERITANCE} +environmental conditions {exposure to drug/environmental contribution-TERATOG ENIC}) ..multiple genesare affected on CHROMOSOMES ( so it can be chromosomaldisorder also); and MENDELIAN INHERITA NCE IS SINGLE GENEDISORDER)...this is most probably FETAL ALCOHOLSYNDROME.(alcoholisteratogenicduring pregnancy).
5153,Pathology,Genetic disorder,A mutation in which the base replacement changes the codon forone amino acid to another is called a (Recent Exam 2016),Missense mutation,Nonsense mutation,Silent mutation,Frameshift mutation,,1,A missense mutation is one in which the base replacement changesthe codon for one amino acid to another. A nonsense mutation is onein which the base replacement changes the codon to one of thetermination codons. A silent mutation is one in which the basereplacement does not lead to a change in the amino acid but only tothe substitution of a different codon for the same amino acid. Aframeshift mutation is one in which deletion or insertion of one ortwo bases occurs in a coding region and causes every codon distaltothe mutation in the same gene to be read in the wrong triplet frame
5154,Pathology,Genetic disorder,Regarding the centimorgan (Recent Exam 2016),The human genome is composed of approximately 6000centimorgans in recombination distance,It is a measure of genetic distance that reflects theprobability of a crossover between two loci during meiosis,One centimorgan approximates a 5% chance of a crossover,The average chromosome contains about 500 centimorgansof genetic material,,5,It is a measure of genetic distance that reflects the probability of acrossover between two loci during meiosis
5155,Pathology,Genetic disorder,Following is transmitted as autosomal dominant disorder (Recent exam 2017),Albinism,Sickle cell anemia,Hereditary spherocytosis,Glycogen storage disease,,3,
5156,Pathology,Genetic disorder,Neurofibromatosis I is- (DNB Nov ),AD,AR,X linked recessive,X linked dominant,,1,
5157,Pathology,Genetic disorder,Autosomal dominant inheritance- (Recent exam 2017),Albinism,Sickle cell anemia,Thalassemia,Hereditary spherocytosis,,4,
5158,Pathology,Genetic disorder,Inheritance of Huntington's chorea- (Al 2013; ),AD,XR,AR,XD,,1,
5159,Pathology,Genetic disorder,"The inheritance pattern of familial retinoblastomas is- (Recent Exam 2017, AllMS Nov 05)",Autosomal recessive,Autosomal dominant,X-linked dominant,X-linked recessive,,2,
5160,Pathology,Genetic disorder,Which of the following is dominant metabolic disorder? (Al 04),Â Cystic fibrosis,Phenylketonuria,Alphal-antitrypsin deficiency,Familial hypercholesterolemia,,4,
5161,Pathology,Genetic disorder,"Type of inheritance in tuberous sclerosis- (DNB Aug13,Junel4)",Autosomal dominant,Autosomal recessive,X-linked dominant,X-linked recessive,,1,
5162,Pathology,Genetic disorder,Type of inheritance in Wilson's disease-(Recent Exam 2016),Autosomal dominant,Autosomal recessive,X-linked dominant,X-linked recessive,,2,
5163,Pathology,Genetic disorder,Hemophilia is associated with- (Recent exam 2018),X chromosome,Y chromosome,Chromosome 3,Chromosome 16,,5,
5164,Pathology,Genetic disorder,Which of the following is not X-linked condition? (Recent exam 2017),Duchenne muscular dystrophy,Emery-Dreifuss muscular dystrophy,Facioscapulohumeral muscular dystrophy,Becker muscular dystrophy,,3,Facioscapulohumeral muscular dystrophy is an autosomal-dominant inheritance.- Emery-Dreifuss muscular dystrophy is X-linked disorders
5165,Pathology,Genetic disorder,"The chances of having an unaffected baby, when both parents have achondroplasia,are- (Al 05,AllMS May04",0,0.25,0.5,1,,2,Achondroplasia is an autosomal dominant condition. Both the parents are affected.Chances of having an unaffected baby are 25%.
5166,Pathology,Genetic disorder,A parent is homozygous and another parent is heterozygous for an autosomal recessive geneWhat will be the outcome?(AllMS May 94),75% children affected,"No child affected, but all are carriers","50% children affected, rest are carriers","25% children affected, rest are carriers",,5,"In an autosomal recessive disorders, if one parent is Effected and the other is carrier, then 50% of childrenwill beaffected an 50% will be carrier."
5167,Pathology,Genetic disorder,Duchenne muscular dystrophy is inherited as- (Recent Exam 2016),X-linked,Autosomal dominant,Autosomal recessive,Codominant,,5,
5168,Pathology,Genetic disorder,Parents are carrier of an autosomal recessive disorderChances of offspring to get affected-(Al 2013; ),0.042361111,0.04375,0.043055556,0.044444444,,5,"If both parents are carrier, there are 25% chance (1 in 4) that the child will be affected."
5169,Pathology,Genetic disorder,Chance of having cystic fibrosis if only one parent is affected andthe other is normal- (Al 201 4; ),0.25,0.5,0,0.8,,3,"In an autosomal recessive disorder, one parent affected and the other is normal so none of the children will be affected."
5170,Pathology,Genetic disorder,"If both parents have sickle cell anemia patients, then the likelihood of offspring's having the disease is- (DN B Nov )",0,0.25,0.5,1,,1,"Sickle cell anemia is autosomal recessive. â€_lf both parents are affected, then 100% of the children will be affected."
5171,Pathology,Genetic disorder,Cystic fibrosis is inherited as an autosomal recessive conditionAnormal couple has one daughter affected with the diseaseThey arenow planning to have another childWhat is the chance of her siblingbeing affected by the disease- (Al 10),0,44593,44652,44654,,5,"ln an autosomal recessive disorder if both the parents are carrier,then:a) 25% children will be affectedb) 50%willbecarrierandc) 25% will be normal."
5172,Pathology,Genetic disorder,Only Males are affected in which of the following pedigree:a) Autosomal dominant (Recent Exam 2016),Autosomal dominant,Autosomal recessive,Y-linked disorder,X-linked recessive,,3,
5173,Pathology,Genetic disorder,Abnormal chromosomal numberwhich is exact multiple ofthe 23 is-(DNBJunel4),Euploidy,Aneuploidy,Mosaicism,Trisomy,,1,
5174,Pathology,Genetic disorder,"Retinitis pigmentosa inherited as- (Recent Exam 2013,, COMED-16)",AD,AR,XR,Â Digenic,,2,"Training in Paediatrics (Oxford university press) by Mark Gardiner, Sarah Eisen,Catherine Murphy p. 190]RETINITIS PIGMENTOSA most common inheritance pattern is AUTOSOMAL RECESSIVE (50-60%)."
5175,Pathology,Genetic disorder,Edward's syndrome is- (Al 20; ),Trisomy 21,Trisomy 18,Trisomy 13,5P,,2,
5176,Pathology,Genetic disorder,True statement about inheritances of an X-linked recessive trait is- (Recent Exa2016),50% of boys of carrier mother are affected,50% of girls of diseased father are carrier,Father transmits disease to the son,Mother transmits disease to the daughter,,1,
5177,Pathology,Genetic disorder,"The most likely inheritance pattern depicted in the followingpedigree is- (Al I MS Nov 03, May 04)AFuA ~X AAXX 1A A X",Autosomal dominant,X-linked recessive,X-linked dominant,Autosomal recessive,,3,
5178,Pathology,Genetic disorder,Multifactorial inheritance is most likely to playa significant role inthe appearance of- (Recent Exam 2016),Achondroplasia,Lysosomal storage disease,Cleft lip,Huntington disease,,3,
5179,Pathology,Genetic disorder,Patau's syndrome is due to- (Al 2013; ),Trisomy 21,Trisomy 18,45Xo,Trisomy 13,,4,
5180,Pathology,Genetic disorder,Which of the following is'a DNA repair defect? (Recent exam 2017),Bloom syndrome,Incontinentia pigmenti,Aplastic anemia,Tuberous sclerosis,,1,
5181,Pathology,Genetic disorder,"In xeroderma pigmentosum, defect is in (Recent exam 2017)",Methylation,Nucleotide excision repair,DNA replication,Protein folding,,2,Exposure to UV rays damages DNA due to production of covalent linkages between adjacepyrimidines. Normally the damaged DNA is repaired by nucleotide excision and repair gene. â€¢ . w- In xerodermapigmentosa this repair of damaged DNA is
5182,Pathology,Genetic disorder,Single gene disorder which does not followmendelian inheritance (PGI93)is-,Sickle cell anemia,Down syndrome,Fragile X syndrome,Retinoblastoma,,3,
