S.No,System,Question,1,2,3,4,,Ans,Explanation
4391,Nervous system,Satiety centre in hypothalamus is regulated by:,Gastric dilataiton,Blood glucose levels,Blood insulin levels,Fatty acids,,2,
4392,Nervous system,Bilateral lesions in lateral hypothalamic area produce:,Anorexia,Hyperphasia,Omniphagia,Diabetes insipidus,,1,
4393,Nervous system,Amphetamine decreases food intake by:,Inhibiting lateral hypothalamus,Increasing glucose utilization in sateity centre,Increasing plasma insuline,Activating stretch receptors in the GIT,,1,
4394,Nervous system,All can increase appetite except:,ÌÊ-MSH,Orexin-A,Neuropeptide-Y,Ghrelin,,1,
4395,Nervous system,Which hormone is secreted from stomach that control intake of food:,Orexin,Insulin like growth hormone,Cholecystokinin -PZ,Ghrelin,,4,
4396,Nervous system,About Neuropeptide Y all are true except:,It is mediated through melanocorticotripin hormone,Decreases  thermogeneisis,Its level decreases during starvation,Contains 36 AA residues,,3,
4397,Nervous system,Thirst is always associated with all of the following except:,Decreases in ECF volume,Increase in plama osmolality,Dryness of mouth,High environmental temperature,,4,
4398,Nervous system,Thirst is stimulated by:,Increase in plasma osmolality and volume,An increases in plasma osmolality and decrease in plasma volume,An decreases in plasma osmolality and increase in plasma volume,Decreases in plasma osmolality and volume,,2,
4399,Nervous system,Osmoreceptor is located at which site:,Anterior hypothalamus,Renal medulla,Carotid body,Atrial chamber,,1,
4400,Nervous system,Drinking can be induced by injection of hypertonic saline into the Hypothalamus in:,Posterior region,Supraoptic nucleus,Paraventricular nucleus,Preoptic nucleus,,4,
4401,Nervous system,Alcohol produces diuresis by:,Inhibiting release of ADH from the hypothalamus,Increasing GFR,Decreasing water reabsorption from the loop of Henle,Decreasing medullary interstitium osmolarity,,1,
4402,Nervous system,Injection of hypertonic saline into which area causes diuresis?,Supraoptic nucleus,Paraventricular nucleus,Preoptic nucleus,Posterior region,,1,
4403,Nervous system,Angiotension II stimulate thirst by a direct effect on receptros located in:,Posterior pituitary,Area postrema,Supraoptic crest,Subfornical organ,,4,
4404,Nervous system,"Without external cue, the sleep-wake cycle in humans:",Unchanged,Continues with cycle length of > 24 hours,Continue with cycle length of > 24 hours,Continue with cycle length of > 12 hours,,2,
4405,Nervous system,The most superficial part of each cerebral hemisphere is called:,Cerebrum,Cerebral cortex,Cerebral white matter,Cerebellar cortex,,2,
4406,Nervous system,Not a feature of cerebral cortex:,2-4 mm thick,Total surface area is 2200 cm2,Major portion lies within the gyri,Mainly comprises of nerve cells,,3,
4407,Nervous system,Spot  the wrong match:,Parietal lobe: concerned with motor functions,Occipital lobe: concerned with vision,Temporal lobe: concerned with hearing,Limbic lobe: control of autonomic functions,,1,
4408,Nervous system,Total number of Brodmann's area in each cerebral hemispere are:,13,24,32,47,,4,
4409,Nervous system,Brodmann's area were  originally numbered separately based on all of the following exxcept:,Each area has an absolute selective function,Cytoarhitecture of cerebral cortex,Types of cerebral cortex,Phylogenitically development,,1,
4410,Nervous system,False about the term spatial recognition refers to:,Tactile localization and discrimination,Joint displacement,Stereogonosis,Sequential analysis process,,4,
4411,Nervous system,The cells in cerebral cortex are organized in how many layers?,2,4,6,8,,3,
4412,Nervous system,Primary sensory cortex is predominantly comprises of:,Betz cells,Pyramidal cells,Granule cells,Spindle cells,,3,
4413,Nervous system,Incoming sensory singals excite which neuronal layer of cerebral cortex?,Layer II,Layer III,Layer IV,Layer V,,3,
4414,Nervous system,The Betz cells of the primary motor cortex are located in which layers of the cerebral cortex?,Layer II,Layer III,Layer IV,Layer V,,4,
4415,Nervous system,Most of the output singals leave the cerebral cortex from cell layer:,Layer II,Layer III,Layer IV,Layer V,,4,
4416,Nervous system,True about allocortex:,The area of cortex where number of layers are less than six,The area of cortex where number of layers are six,Also called isocortex,It has grown immensely with the human evolutioin,,1,
4417,Nervous system,False statement regarding the neocortex:,It essential contians all the six layers,Phylogenetally a new cortex,Greatest developed in human as compared in other mammals,Actual extent of its area has changed little as mammals have evolved,,4,
4418,Nervous system,Not a type of  neocortex:,Agranular,Granular,Pyramidal,Polar,,3,
4419,Nervous system,The fibers that joint different parts of the two cerebral hemisphere are known as:,Specific thalamocortical fibers,Association fibers,Projection fibers,Commisural fibers,,4,
4420,Nervous system,Pyramidal fibers are:,Projection fibers,Association fibers,Commissural fibers,Association and commissural fibers,,1,
4421,Nervous system,Which of the following Brodmann's areas do not function as somatosensory cortex?,"Areas 3, 1, 2",Areas 5 and 7,Areas 4 and 6,Areas 40,,3,
4422,Nervous system,Not a feature of area of the parietal lobe:,Area 5 displays point to point representation,Area 4 is associated with process of discrimination between the stimuli,Area 40 is stereognosis area,Stimulation of sensory area in the parietal lobe causes perception only,,4,
4423,Nervous system,The parietal lobe function does not include:,Appreciation of general elementary sensations,Differetiation between stimuli,Helps recognition of spatial relation ship,Concerned with motor function,,4,
4424,Nervous system,Unilateral removal parietal lobe causes all except:,Slight impairment of perception of pain,Loss of finer forms of sensory perception,Ataxia,Inability to copy designs,,4,
4425,Nervous system,Awareness of positions of various parts of the body relative to one another is called:,Apraxia,Spatial orientation,Body images,Stereognosis,,3,
4426,Nervous system,Patient is able to recognise person by name but not by face. Lesion is in:,Post parietal regioin,Occipital,Frontal lobe,Temporal lobe,,4,
4427,Nervous system,Prosopagnosia is:,Inability of recognize colours,Inability of recognize faces,Unable to correct grammatical erros,Inability to recognize voices,,2,
4428,Nervous system,Apraxia refers to:,Inability of recognize faces,Inability to read,Inability to perform movements in the absence of paralysis,Inability to find the way out even in familiar surroundings,,3,
4429,Nervous system,Major areas of the prefrontal lobe are:,Areas 9 to 13,Areas 24 to 32,Areas 44 to 47,All of the above,,4,
4430,Nervous system,The prefrontal lobe receives the major projections from the:,Thalamus,Hypothalamus,Pituitary,Mid-brain,,1,
4431,Nervous system,Fibers from the prefrontal lobe are projected to all of the following except:,Basal ganglia,Cerebellum,Thalamus,Mid-brain,,1,
4432,Nervous system,Following structure is referred to as organ of mind:,Thalamus,Hypothalamus,Prefrontal lobe,Medulla,,3,
4433,Nervous system,Capacity of an animal to concentrate on a task depends to very great extent on an intact:,Parietal lobe,Temporal lobe,Occipital lobe,Prefrontal lobe,,4,
4434,Nervous system,prefrontal lobe contols all except:,Higher intellectual activities,Personality and emotions,Behaviour and social consciousness,Tactile discrimination,,4,
4435,Nervous system,Commonest featrure of prefrontal lobe lesion:,Psychic blindness,Aphasia,Distractibility,Amnesia,,3,
4436,Nervous system,Damage to which area of the cerebral cortex is likely to cause the greatest degree of loss of intellectual capabilities in a right-handed person?,The prefrontal lobes,The left somesthetic sensory cortex,The right somesthetic sensory cortex,The right posterior temporal lobe,,1,
4437,Nervous system,In frontal lobe lesion following are true except:,Right-left dissociation,Urinary incontinence,Personality change,Monoparesis,,4,
4438,Nervous system,Frontal lobe syndrome is charaterized by all of following except:,Difficulty in planning,Sense of well being,Depression of intellectual activity,Increased mental drive,,4,
4439,Nervous system,Not a feature of prefrontal leucotomy:,Involving cutting the connections between the thalamus and prefrontal lobe,Refers to removal of prefrontal lobe,Done in psychiatric patients to reduce tension,Association with frontal lobe syndrome,,2,
4440,Nervous system,Unilateral removal of temporal lobe causes no deafness because of:,Its bilateral representation,Its perception at subcortical level,Its representation in posterior part of superior temporal lobe,Inctact memory,,1,
4441,Nervous system,Lesion of which of the following structure leads to Kluver-Bucy syndrome?,Amygdala,Hypothalamus,Hippocampus,Temporal lobes,,1,
4442,Nervous system,Kluver-Bucy syndrome is not characterized by:,Loss of fear,Hearing loss,Hypersexuality,Timidity,,2,
4443,Nervous system,Kluver-Bucy animal exhibits all of the following features except:,Hypersexuality,Visual agnosia,Marked increases in oral activity,Eating habits not altered,,4,
4444,Nervous system,The Limbic system consists of all except:,Limbic system,Amygdala and septal nuclei,Thalamus and hypothalamus,Brain stem,,4,
4445,Nervous system,Not a feature of Limbic cortex:,Phylogeneticall the oldest part of cerebral cortex,Made up of allocortex,Its actual extent has increased enormously as humans have evolved,Arranged in a from of a ring around the brain stem.,,3,
4446,Nervous system,Which of the following is most prone to hypoxic injury:,Thalmus,Hypothalamus,Caudate nuscleus,Cerebellum,,2,
4447,Nervous system,Not a functions of limbic system:,Control of autonomic functions,Concerned with oflaction and memory,Play important role in emotions of rage and fear,Control intellectual activities,,4,
4448,Nervous system,Window of limbic system:,Hypothalamus,Amygdala,Hippocampus,Thalmus,,2,
4449,Nervous system,Limbic system  is concerned with:,"Control of emtions, food habits",Sexual behaviour,Autonomic functions,All of the above,,4,
4450,Nervous system,Incorrect about unique feature of limbic system:,Forms few connections with the neocortex,Shows prolonged after dischrge following stimulation,Its activity cannot be terned on the off at will,Its activity can be modified neocortex,,4,Cannot the modified
4451,Nervous system,Not a mental component of emotion:,Cognition,Affect,Conation,Muscular tremors,,4,
4452,Nervous system,Not a correctly defined term accompanying mental changes of emotions:,Cognition: awarness of sensation and its cause,Affect feeling,Conation : urge to take aciton,Tremors involuntary muscle movements,,4,
4453,Nervous system,"In the example ""I hear a wise of an exploding bomb, I feel frightened, and I want to take shelter"" ; the false match is:",Recognition of noise that of an exploding bomb: cognition,I feel frightened: affect,I want to take shelter: conation,I want ot take shelter: affect,,4,
4454,Nervous system,The physical changes that accompany emotions involves all except:,Activity of ANS,Activity of somatic: nervous system,Both (a) and (b),No changes in the viscera,,3,
4455,Nervous system,Emotional effect to a Physical response is given by:,Amygdala,Cortex,Cerebellum,Hippocampus,,4,
4456,Nervous system,The brain area not directly concerned with emotional expression:,Limbic system,Hypothalamus,Thalamus,Brainstem,,4,
4457,Nervous system,Sham range is produced when:,Section is made at L2 vertebrae,Pons is removed,Medulla is removed,All the cortex is removed from the brain,,4,
4458,Nervous system,True about experimental sham rage is:,occurs in decorticate animals,Is goal directed,Is cuased by removal of hypothalamus,Appears slowly and goes slowly,,1,
4459,Nervous system,"Fleeing or avoidance reactions, incorrect is:",Associated with autonomic changes,Natural protective response to threat,Absent when the amygldaloid nuclei are destroyed,Presists even after destruction of hypothalamus,,4,
4460,Nervous system,"The rage reaction, not true is:",Also called fighting reaction,Also called attacking reaction,"In animal as associated with piloerection, hissing biting etc.",Minor irritations are usually ignored,,4,
4461,Nervous system,Rage responses to minor stimuli are observed often all of the following except:,Androgen administration,Removal of neocortex,Destruction of septal nuclei,Bilateral amygdaloid destruction,,4,
4462,Nervous system,Which of the following is not played by the cerebral cortex in genesis of emotions?,Detailed processing the conscious experience of emotional feeling,Direct the motor responses to external event,Modulation of emotional behaviour,"Integrates endocrine, autonomic and motor activities",,4,
4463,Nervous system,Not a feature of brain reward (approach) system:,A potent motivation for learnnig than the punishment,Catecholamines are major neurotransmitter involved in the pathway,Nicotine and alchol stimulate this system,Antipsycholic agents inhibits pathway,,2,
4464,Nervous system,Reward centre is:,Insula,Putamen,Medial forebrain bundle,Aqueduct sylvius,,3,
4465,Nervous system,The habit-forming substances that produced addictive behaviour act by:,Producing euphoria,Increasing dopaminergic activity in brain reward system,Relieved tension/feeling of relaxation,Main neurotransmitter involved is NE,,2,
4466,Nervous system,Sex behaviour in an individual is determined by:,Neocortex,Limbic system,Hypothalamus,Coordinated activity of all of the above,,4,
4467,Nervous system,Sexual behaviour of a person is dependent upon:,Thalamus,Hypothalamus,Frontal lobe,Temporal lobe,,1,
4468,Nervous system,Part of hypothalamus which is involved in sexual behaviour:,Preoptic area,Supraoptic area,Lateral hypothalamus,Posterior hypothalamus,,4,
4469,Nervous system,The higher functions of nervous system include all except:,Language,Memory,Learning,Cannot be turned on & off on will,,4,
4470,Nervous system,Not a feature of categorical (or dominant) hemisphere?,Specialized for higher functions of the nervous system,Genitically determined and related to handedness,"In most individuals, left related to dominant",In its disorders person are unconcerned of their disability,,4,
4471,Nervous system,False about hemisphere specialization:,In about 90% of human populatioin left hemisphere is dominant,In majority of left handed individuals left hemispere is dominant,If the in in the temporal lobe it results  in loss of recent verbral memory,Its disorders produces agnosia,,4,
4472,Nervous system,Representational hemisphere is specialized by:,Catagorization and symbolization,In the area of spatio -temporal lobe relation,Higher functions of the nervous system,Sequential analysis process,,2,
4473,Nervous system,The term language refers to:,To understand the spoken words,To understand the printed words,To express ideas in speech,All of the above,,4,
4474,Nervous system,The brain centre/area involved in spoken speech are all except:,Primary auditory centre,Auditory psychic area,Wernicke's area,Dejerine area,,4,
4475,Nervous system,"When a person wishes to speak a certain thought, where does the thought originate?",In Broca's area,In the posterior end of superior temporal lobe,In the suparmirginal gyrus,In the facial region of the motor cortex,,2,
4476,Nervous system,The posterior end of superior temporal gyrus in dominant hemisphere is location of:,Wernicke's area,Dejerine area,Broca's area,Exner's area,,1,
4477,Nervous system,Which of the following is a sensory speech centre?,Dejerine area,Broca's area,Exner's area,Wernicke's area,,1,
4478,Nervous system,Dejerine area:,Located in inferior frontal lobe,Also called motor speech centre,Processes information from printed words convert into internal speech,Located in superior frontal grus,,3,
4479,Nervous system,Broca's area of speech lies at:,Superior frontal gyrus,Inferior frontal gyrus,Posterior frontal gyrus,Superior temporal gyrus,,2,
4480,Nervous system,Broca's area which is not true?,Present bilateraly in brain,Also called Brodmann's area 44,Projects the vocalization pattern to the motor cortex,Present in the motor frontal gyrus,,1,
4481,Nervous system,Broca's area is Broadmann's area:,41,42,44,47,,3,
4482,Nervous system,The Brain  area that processes the information from Broca's area into detailed and coordinated pattern to produce written speech is:,Wernicke's area,Dejerine area,Exner's area,All of the above,,3,
4483,Nervous system,Written speech means:,Understanding written  words and expressing the ideas in writing,Understanding spoken words and expressing the ideas in writing,Expressing the ideas in writing,Understanding the spoken and written words and expressing the ideas in writing,,1,
4484,Nervous system,Aphasia refers to:,Speech disorders,A person talking excessively which makes little sense,Abnormalites of speech functions that are not due to defects of vision of hearing or motor paralysis,None of the above,,3,
4485,Nervous system,Fluent aphasia is characterized by all except:,Lesion in the Wernicke's area,Damage to sensory speech centre,Speech is not disturbed,Agraphia,,4,
4486,Nervous system,Damage to Wernicke's area in the dominant hemispere is likely to make a person unable to:,Hear high-frequency sounds,Perform complex mathematical functions,Read words,Interpret the meaning of a sentence,,3,
4487,Nervous system,Inability to understand the written words is called as false statements:,Pure word blindness,Alexia,Anomic aphasia,Agraphia,,4,
4488,Nervous system,pure word blindness occurs in the lesion of:,Superior temporal gyrus,Inferior temporal gyrus,Middle temporal gyrus,Angular gyrus,,4,
4489,Nervous system,"A person, who after'a stroke'is able to write to his thought but is unable to express the ideas as spoken words is affected by:",Motor asphasia,Sensory asphasia,Aprexia,Visual agnosia,,1,
4490,Nervous system,Motor aphasia results from damage to:,Broca's area,The angular gyrus area,The superior temporal cortex,The prefrontal area,,1,
4491,Nervous system,Motor (or non-fluent ) aphasia is characterized by all exept:,Agraphia,Patient uses antonomic words,Patient is dumb,Alexia,,4,
4492,Nervous system,Which of the following is incorrectly paired?,Damage to the parietal lobe of the representational hemisphere: Unilateral inattention and neglect,Damage to the angular gyrus in the categorical hemisphere: Nofluent aphasia,Damage to the mammiliary bodies: loss of recent memory,Damage to Boca's area in the categorical hemisphere: slow speech,,2,
4493,Nervous system,Which of the following is concerned with conditioned reflexs?,Cerebral cortex,Medulla oblongata,Cerebellum,Hypothalamus,,1,
4494,Nervous system,"Inborn reflexes, not true is:",Also celled unconditioned reflexes,Present in all normal individuals,Examples include: all superficial and deep reflexes,Organic reflexes do not come under this category,,4,
4495,Nervous system,Who described conditioned reflex:,pavlov,Salk,Sherrington,Priestly,,1,
4496,Nervous system,Characteristic feature of conditioned reflexes include all except:,A reflex response to a stimulus that earlier did not produce the response,Peculier to the individual,Certain condition must be present for as appearance,"Once acquired, it presists thereafter",,4,
4497,Nervous system,"When a dog is given food after a bell and this is repeated times , he will salivate just on hearing the bell. This is an example of:",Reinforcement,Conditioned reflex,Unconditioned reflex,Enforcement,,2,
4498,Nervous system,In Pavlov's classical dog experiment not a correct statement:,Introduction of food into dog's mouth: unconditioned reflex,Reflex salivation: Unconditioned reflex,Ringing of bell alone: conditioned stimulus,Flow of saliva in response to ringing of bell: conditioned reflex,,3,
4499,Nervous system,Factors which influence conditioned reflex to develop are all except:,An unhealthy individual,Conditioned stimulus (CS) must be to operate before the unconditioned stimuli (US),Necessity for reinforcement,Time interval between application of CS and US shlould not be more than 90 seconds,,1,
4500,Nervous system,Not  true operant conditioning is a form of conditioning in which:,A naturally occuring response is strengthened by positve inforcement,A naturally occuring response is weakness by punishment,An animal is taught to perform some task in order to obtain a reward or avoid punishment,Based on phenomenon of extinciton,,4,
4501,Nervous system,True of the essential features of a conditioned reflex is the:,Formation of new funtional connections with nervous system,Almost any stimulus may become a conditioned stimulus (CS),Easily formed if CS produced an unpleasant effect,Once acquired if become permanent,,1,
4502,Nervous system,"When an animal is taught to differentiate between different singles with great accuracy, this is called:",Operant conditioning,Positive reinforcement,Negative reinforcement,Discrimination conditioning,,4,
4503,Nervous system,Clinical significance of conditioned reflexes is:,By  discriminate  conditioning dogs can be taught to distinguish between diferent smells,Conditioned decreaes in BP in hypertensive individuals,Control of emotion of rage,All of the above,,4,
4504,Nervous system,Functional role of corpus callosum is related to:,Transfer of sensory information from one cerebrum to another,Impressing memory engrave bilaterally,Coordination of movements on two sides of the body,Keep two collosum together,,2,
4505,Nervous system,Memory is:,Ability to recall past events at the conscious or unconscious,Relatively temporary storage from of learned information,Lergely unconscious phenomenon,Involves only conscious recall of events,,1,
4506,Nervous system,Rememebering thiings to a week old is:,Recent memory,Remote memory,Delayed memory,Working memory,,2,
4507,Nervous system,Which part of the brain pcincipally stores memory?,Amygdala,Hippocampus,Neocortex,Uncus,,2,
4508,Nervous system,Memory formation process in the CNS  involes all excpet:,It involves changes in neurotransmitter released at the synapse.,Increases in number of synapses and dendrites,Recruitment of neurons,Allocation of specila,,4,
4509,Nervous system,Striatum damage affects priming:,Procedural memory,Short term memory,Long term memory,Explicit memory,,1,
4510,Nervous system,In a person with a history of alcohol abuse which of the following aspects of memory is most likely to be impaired?,Accurate perception of stimuli,Immediate recall of new information,Recall of events occuring a few weeks earlier,Recall of events in the remote past,,3,
4511,Nervous system,Which theory probably explains long-term memory the best?,It causes avtual physical or chemical changes at the synapses,There is increase in RNA synthesis inside the neuron,The glial cells arouse the neuron change,The ionic composition of the neuron changes,,2,
4512,Nervous system,Conversion of short term memory into long term memory occurs in:,Amygdala,Hippocampus,Frontal cortex,Hypothalamus,,2,
4513,Nervous system,Which of the following is correctly paired:,Neocortex and associate learning,Hippocampus and implicit  memory,Medial temporal lobe and declarative memory,Angular gyrus and procedural memory,,3,
4514,Nervous system,Damaging what area of the brain is likely to cause anterogade amnesia?,Prefrontal cortex,Occipital cortex,Amygadala,Hippocampus,,4,
4515,Nervous system,"In an individual, who had medial temporal lobe epliepsy for over 10 years, As a result this individual might be expected to exerience a:",Disappearance of remote momories,Loss of working memory,Loss of ability to encode events of the recent past into long term memory,Loss of the abiliy to recall faces and forms,,3,
4516,Nervous system,Which of the following neurotransmitter deficiency is implicated in Alzheimer's dementia?,Dopamine,Serotonin,GABA,Acetylcholine,,4,
4517,Nervous system,Alzheimer's  disease is characterized by all excpet:,Progressive loss of memory,Loss of intellectual functions,Extrapyramidal  symptoms,Usually occurs over 65 years of age,,4,This is senile dementia
4518,Nervous system,Which of the following is the definitive sign of Alzheimer's  disease?,Loss of short term memory,The presence of intracellular nuerofibillary tangles,A mutation is genes for amyloid precursor protein on chromosome 21,A loss of cholinergic neurons in the nucleus basalis,,2,
4519,Nervous system,Memory failure in the old age is called:,Alzheimer's disease,Retrograde amnesia,Senile dementia,All of the above,,4,
4520,Nervous system,Drugs that  facilitate memory are all except:,A-ch by facilitating consolidation of memory trace,Associated with increase mRNA synthesis in the brain neurons,"Include: caffeine, amphetamine,  physostigmine etc.",Modeerate intake of alcohol,,4,
4521,Nervous system,"The optic chiasma and corpus callosum are sectioned in an animal (dog/cat) and with right eye covered, the animal is trained to reponed to a visual stimulus. The right eye is than uncovered and the left eye covered. The animal will now:",Response promptly to the visual stimulus in spite of the lack of input to the left occipital cortex,Fail to respond to the visual stimulus because the animal has bitemporal hemianopia,Respond to the visual stimulus only after retraining,Fail to respond to the visual stimulus if the posterior commissure is also cut.,,1,
4522,Nervous system,Not a feature of neurotransmitters:,Influence ion chennel by changing the membrane potential,Changed induced are fast and direct,Action occurs within milliseconds,Can activate only postsynptic receptors,,4,
4523,Nervous system,Which of the following is not a synaptic transmitters?,ATP,Nitric acid,Substance P,Lysine,,4,
4524,Nervous system,The most ideal neurotransmitters is:,5-HT,Substance P,Acetylcholine,Glycine,,3,
4525,Nervous system,Muscarinic actions of acetycholine differs from nicotinic actions in that:,These actions are slow in onset and prolonged,They are antagonized by atropine,"These actions are those exerted by acetycholine in the heart, smooth muscle and exocrine glands",Acetyl choline receptors on motor end plate,,4,
4526,Nervous system,Role of acetycholine in the nervous system:,Involved in motivation,Responsible for arousal functions of the RAS,An excitatory transmitter in basal ganglia,All of the above,,4,
4527,Nervous system,Which of the following statement is not true:,Acety choline is an inhibitory transmitter in the basal ganglia,Serotonin (5HT) works as a neuromodulator in the CNS,Nor epinephrine and 5HT both are involved  the control of food take and regulation of body temperature,Glumatic acid is an important excitatory neurotransmitter in the CNS,,1,
4528,Nervous system,Which is amine neurotransmitters?,GABA,Epinephrine,Acetylcholine,Lignocaine,,1,
4529,Nervous system,"Nor-epinephrine, not true is:","An inhibitory transmitter in the thalamus, cerebral cortex and cerebellum",Invoved in secretion of  ADH from hypothalamus,Suppress ACTH secretion,Exert inhibitory action on cholinergic neurons in the caudate nucleus,,4,
4530,Nervous system,Schizophrenia is due to excess activity of which neurotransmitters?,Acetylcholine,Epinephrine,Dopamine,Glycine,,3,
4531,Nervous system,What transmitters substance is released by the spinal nerve ending of the neurons whose cell bodies are located in the rape nucleus?,Endorphin,Substance P,Glycine,Serotonin,,4,
4532,Nervous system,"In general, serotonin:",Has an inhibitory effect on motor pathways,Has an inhibitory effect on sensory pathways,Activity is lowest during states of alert wakefulness,Present in highest concentration in mast cells,,2,
4533,Nervous system,Lysergic acid diethylamide (LSD) false is:,A potent hallucinogenic agent known,Acts by stimulating serotonergic neurons,A type of habit-forming substance,Involved in control of food intake,,4,
4534,Nervous system,False about histamine receptors:,H1 receptors activate phospholipase C,H2 receptors increase intracellular cAMP,H3 receptors mediate inhibition of releasse of histamine,H3 receptors are post synaptic,,4,
4535,Nervous system,Which of the following receptors is identified as G-protein coupled receptors (GPCR):,Nicotinic receptors,Glumatic acid,NDMA receptors,Glycine,,2,
4536,Nervous system,"GABA, not true is:",An inhibitory transmitter in the spinal cord,Its brain content is reduced in pyridoxine deficiency,Acting via GABAA receptors it increases all membrane permeability to CT-,Its excess in brain result in neural hyperexcitability and convulsions,,4,
4537,Nervous system,Not an example of excitatory transmitter:,GABA,Glutamic acid,Addrenaline,Acetyl choline,,1,
4538,Nervous system,Inhibition of the spinal cord may be brought about by:,Glutamic acid,Aspartic acid,Glycine,Strychinine,,3,
4539,Nervous system,Which of the following neurotransmitters plays an important role in regulating pain?,Substance P,Enkephalin and Endorphin,Glycine,Neuropeptide Y,,2,
4540,Nervous system,False about substance P:,Involved in transmission of nociceptive stimuli,Responsible for axon reflex,Involved in myentric reflex,A hypophysiotropic hormones,,4,
4541,Nervous system,"Nitric oxide, false statement is:",Released by endothelium of blood vessels as endothelium derived relaxing factor,In brain responsible for longterm potentiation and depression,Its deficiency produces hypertension,In cerebellum 'NO' is excitatory,,4,
4542,Special senses,Special sensibility differs from generate sensibility in that:,Its receptors are located together at one place,Receptors are specialized and responed most to one type of stimulus,Receptors lie very close to nervous system,Receptors obeys adequate stimulus law,,4,
4543,Special senses,Not a feature of common chemical sense:,It is the capacity to respond to surface application of chemical irritant,It contributes to appreciation of odour,Its excessive stimulation gives rise to pain,Taste is most sensitive of the chemical senses,,4,Smell is most sensitive
4544,Special senses,"Smell, not true is:",It has no relay in the thalamus,Its receptors are in direct contract with the external environment,Highly developed in man,Its receptors  are telereceptors as well as chemoreceptors,,3,
4545,Special senses,Receptors which itself is a dendrit of a nerve:,Olfactory,Gustatory,Visual,Hearing,,1,
4546,Special senses,Smell receptors are located in:,Lower 1/3 of nasal mucosa,Upper  1/3 of nasal mucosa,Olfactory bulb,Cribriform plate,,2,
4547,Special senses,Total surface area of oflactory mucous memebrane in human on both sides:,100 mm2,250 mm2,500 mm2,750 mm2,,3,
4548,Special senses,Number of receptor cells contained within the oflactory mucous membrane:,1-2 million,3-5 million,5-10 million,10-20 million,,4,
4549,Special senses,Oflactory receptors are:,Sensitive to physical stimuli,Rapidly replaced,Slowly adapting,Bipolar neurons,,4,
4550,Special senses,"Oflactory receptors cells, not true is:",Their dendrites extend as olfactory rods,Have a short life span of 2-3 days,Originate from basal cells,6-12 cilia are present on each rod,,2,
4551,Special senses,Mucus in the nose is secreted by:,Supporting cells,Bowman's gland,Both (a) and (b),Goblet cells,,3,
4552,Special senses,False about each glomerules of oflactory bulb contians:,26000 axons of olfactory nerve,24 mitral cells,68 tufted cells,Supporting cells,,4,
4553,Special senses,Type of cells  not present in the oflactory bulb:,Mitral and tufted cells,Granule cells,Supporting cells,Periglomerular short axon cells,,3,
4554,Special senses,Not a true of oflactory pathway:,Lateral and intermediate olfactory strial are the axons of mitral cells,Tufted cells axons from medial olfactory striae,All fibers end in olfactory tubercle,granule cells depress the activity in the olfactory bulb,,3,
4555,Special senses,"Oflactory cortex, not true is:",Located in the post-central gyrus,Lies in the limbic system,"Include: anterior olfactory nucleus, piriform cortex, olfactory tubercle, amygdala and entorhinal cortex",Receives projections from the same side of olfactory mucous membrane,,1,
4556,Special senses,"To arouse the sense of smell, of odoriferous substance should be, not true is:",4-20 carbon atoms,Relatively high water and lipid solubility,Volatile,Irritation to olfactory mucous membrane,,4,
4557,Special senses,All of the following sensation have 3 chains of neurons excpet:,Smell,Vision,Touch,Pressure,,1,
4558,Special senses,How many different odour a human can distinguish?,1000-2000,2000-4000,3000-5000,5000-7000,,2,
4559,Special senses,Human can distinguish above 2000 different odour This is possible due to all of following excpet:,Presence of different odorant receptors,Frequency of action potentials in the afferent of neve reaching the brain,Number of odorant receptors stimulated,Presence of separate area in cerebral cortex,,4,
4560,Special senses,Which of the following increase the ability to discrimination many different odours?,Sniffing,An individual olfactory receptor,By changing concentration of an Odourant substance by 1%,By changing direction from which a smell comes,,1,
4561,Special senses,The odour discriminnation threshold is percent change in odour intensity:,10,20,30,40,,3,
4562,Special senses,Role of higher centres in oflaction is all of the following excpet:,Anterior olfactory nucleus transfers olfactory memories from one side to other,Pirifirm is concerned wih discrimination and conscious perception,Amygadala is concerned with emotional responses to olfactory stimuli,Entorhinal cortex is concerned with initiating sneezing,,4,
4563,Special senses,Not a feature of adaptation to smell:,Develops within seconds or minutes,Degree of adaptation cannot be measured,It is selective to one substance,Also occurs to irritant chemical sense,,2,
4564,Special senses,Not a unique feature of olfaction:,Smell pathways have no relay in the thalamus,Receptors are telereceptors as well as chemoreceptors,Receptors neurons are in direct contact with external environment,Receptors do not show fatigue,,4,
4565,Special senses,Which of the following is not a primary taste sensation?,Pungent,Sweet,Salt,Sour,,1,
4566,Special senses,False about flavour is:,A tests sensation,"Odour, smoothness or roughness of food","Hot or cold, pungent or bland food",Directly associated with cerebral cortex area for taste,,4,
4567,Special senses,Taste buds (or taste receptors) are:,Surfece epithelial cells,Specialised nerve endings,Modified epithelial cells,Telereceptors,,3,
4568,Special senses,Taste buds are not located on the:,Dorsum of the tongue,Edges of the tongue,Right and left of the midline and back edge of tongue,"Epiglottis, soft palate and pharynx",,3,
4569,Special senses,Which of the papilla do not contain tasts buds?,Fungiform,Filiform,Vallate,Foliate,,2,
4570,Special senses,Which of the following papilla contains the maximum number of tasts buds?,Fungiform papillae,Filiform papillae,Vallate papillae,Foliate papillae,,3,
